"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"Russ - Yes Sir (Official Video)","Russ","Music",2022-06-30 01:21:07,208382,19749,0,1359,FALSE,FALSE,FALSE,1,"12am to 8am","Thursday","1"
2022-07-01,"17-Year-Old Returns Woman’s Lost Purse and Gets $3K Reward","Inside Edition","News and Politics",2022-06-29 20:51:28,2602851,131019,0,8249,FALSE,FALSE,FALSE,20,"3pm to 12am","Wednesday","1"
2022-07-01,"Nintendo Direct Mini: Partner Showcase | 6.28.2022","Nintendo","Gaming",2022-06-28 13:00:21,2484607,90328,0,10855,FALSE,FALSE,FALSE,13,"8am to 3pm","Tuesday","3"
2022-07-01,"Neon White (dunkview)","videogamedunkey","Gaming",2022-06-29 19:30:03,1588013,107053,0,3312,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","2"
2022-07-01,"An Elden Ring Story ► The Warrior Within","VaatiVidya","Gaming",2022-06-29 06:48:06,907758,77698,0,4361,FALSE,FALSE,FALSE,6,"12am to 8am","Wednesday","2"
2022-07-01,"Bloons Mod in Among Us","SSundee","Gaming",2022-06-30 16:00:14,1204860,71295,0,4019,FALSE,FALSE,FALSE,16,"3pm to 12am","Thursday","1"
2022-07-01,"Do-nut Fear, Blink Video Doorbell is Here","Blink, an Amazon Company","Entertainment",2022-06-30 05:18:24,1250582,37,0,38,FALSE,FALSE,FALSE,5,"12am to 8am","Thursday","1"
2022-07-01,"Geometry Dash SubZero's Coin Problem","GD Colon","Gaming",2022-06-29 22:00:12,235090,18047,0,2192,FALSE,FALSE,FALSE,22,"3pm to 12am","Wednesday","1"
2022-07-01,"Denzel Curry: Tiny Desk Concert","NPR Music","Music",2022-06-29 11:00:26,406121,33401,0,1462,FALSE,FALSE,FALSE,11,"8am to 3pm","Wednesday","2"
2022-07-01,"Minecraft But I Take SUPERHERO Hearts","PrestonPlayz","Gaming",2022-06-29 12:00:13,1867293,47916,0,2621,FALSE,FALSE,FALSE,12,"8am to 3pm","Wednesday","2"
2022-07-01,"Jan. 6 hearing with testimony from ex-White House aide Cassidy Hutchinson on June 28, 2022 (Part 1)","Click On Detroit | Local 4 | WDIV","News and Politics",2022-06-28 20:07:04,436105,3299,0,3649,FALSE,FALSE,FALSE,20,"3pm to 12am","Tuesday","2"
2022-07-01,"SEE HOW THEY RUN | Official Trailer | Searchlight Pictures","SearchlightPictures","Film and Animation",2022-06-29 12:59:50,2373471,5523,0,370,FALSE,FALSE,FALSE,12,"8am to 3pm","Wednesday","2"
2022-07-01,"SES-22 Mission","SpaceX","Science and Technology",2022-06-29 21:45:49,537848,15657,0,673,FALSE,FALSE,FALSE,21,"3pm to 12am","Wednesday","1"
2022-07-01,"Why I Removed the World","Parrot","Gaming",2022-06-28 14:00:10,1410986,59892,0,4078,FALSE,FALSE,FALSE,14,"8am to 3pm","Tuesday","3"
2022-07-01,"How Weather Forecasting Works","Wendover Productions","Education",2022-06-29 15:23:35,364126,17004,0,954,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","2"
2022-07-01,"SURPRISING MY BOYFRIEND ! HE’S HOME FROM OVERSEAS 😍!","Life As Nique","Entertainment",2022-06-29 19:50:29,227014,18452,0,1092,FALSE,FALSE,FALSE,19,"3pm to 12am","Wednesday","2"
2022-07-01,"The Last Human – A Glimpse Into The Far Future","Kurzgesagt – In a Nutshell","Education",2022-06-28 14:00:23,3537727,269803,0,13047,FALSE,FALSE,FALSE,14,"8am to 3pm","Tuesday","3"
2022-07-01,"WATCH LIVE: The Disney Wish Christening … Wishes Do Come True | Disney Cruise Line","Disney Parks","Travel and Events",2022-06-29 15:50:41,173274,3742,0,219,FALSE,FALSE,FALSE,15,"8am to 3pm","Wednesday","2"
2022-07-01,"A King Upstairs and An Exile in My Basement :: Hermitcraft S9","BdoubleO100","Gaming",2022-06-29 14:52:05,303428,25012,0,1293,FALSE,FALSE,FALSE,14,"8am to 3pm","Wednesday","2"
2022-07-01,"Trailer Reaction | Hocus Pocus 2 | Disney+","Walt Disney Studios","Film and Animation",2022-06-29 17:00:12,255200,11910,0,534,FALSE,FALSE,FALSE,17,"3pm to 12am","Wednesday","2"
